,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
0,South Consolidated,100_G_SC1,100,G,SC1,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,1.4,0.0,1981.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,100.0,33.466477,-111.781064,,,,,,,,,0.0,0.0,POINT (-111.781064 33.466477),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,1.4,0.14292574477545575,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,100+SC1
2,Cholla,113_B_3,113,B,3,64.0,Coal Steam,,WECC_AZ,Arizona,4,Navajo,17,4017,271.0,10661.0,1980.0,9999,tangential,dry,N,"Bituminous, Subbituminous",Wet Scrubber,2009.0,0.94,LNC3,,,,B,,ACI,2016.0,,0.8,0.18555,0.18555,0.18555,0.18555,0.1,0.1,0.1,0.99,,,,,,,Yes,Bituminous,113.0,34.9394,-110.3033,,,,,,,,,1.7546330215875177,205.7,POINT (-110.3033 34.9394),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Bituminous,"(10593.0, 10661.0]",12,48.509,27666.340595820366,108.4,0.0,37800.0,4.47,23.176142643144523,1,0.0,1,1,False,False,False,False,113+3
7,Horse Mesa,145_G_HM1,145,G,HM1,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0.0,1927.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,10.0,1.0208981769675411,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,145+HM1
8,Horse Mesa,145_G_HM2,145,G,HM2,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0.0,1927.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,10.0,1.0208981769675411,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,145+HM2
9,Horse Mesa,145_G_HM3,145,G,HM3,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0.0,1927.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,10.0,1.0208981769675411,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,145+HM3
10,Mormon Flat,148_G_MF1,148,G,MF1,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,11.5,0.0,1926.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,148.0,33.5536,-111.4431,,,,,,,,,0.0,0.0,POINT (-111.4431 33.5536),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,11.5,1.1740329035126724,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,148+MF1
11,Roosevelt,149_G_ROOS,149,G,ROOS,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,36.0,0.0,1973.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,149.0,33.671104,-111.161786,,,,,,,,,0.0,0.0,POINT (-111.161786 33.671104),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,36.0,3.675233437083148,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,149+ROOS
12,Stewart Mountain,150_G_SM,150,G,SM,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,13.0,0.0,1930.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,150.0,33.5661,-111.536,,,,,,,,,0.0,0.0,POINT (-111.536 33.5661),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,13.0,1.3271676300578035,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,150+SM
13,Glen Canyon Dam,153_G_1,153,G,1,,Hydro,,WECC_AZ,Arizona,4,Coconino,5,4005,165.0,0.0,1964.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,153+1
14,Glen Canyon Dam,153_G_2,153,G,2,,Hydro,,WECC_AZ,Arizona,4,Coconino,5,4005,165.0,0.0,1964.0,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,False,False,False,False,153+2
