,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
0,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,9467.0,3344483.044,94059.0,11.699148,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12,116.35,66358.38150289017,260.0,0.0,28.284786502437242,1,0.0,1,1,WA,,,,,,,,,,,Coal Steam CCSWA
1,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6363.0,812286.3957,24455.34,1.558692,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4,127.2,40835.92707870164,160.0,0.0,24.78948980648916,1,0.0,1,1,WA,,,,,,,,,,,Combined CycleWA
2,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,6170.0,1522423.112,54106.31999999999,4.765656,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4,108.12,34710.5380168964,136.0,0.0,27.291826433135018,1,0.0,1,1,WA,,,,,,,,,,,Combined Cycle CCSWA
3,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10455.0,5246173.385,129866.215,2.10672332,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20,89.36,570171.6318363717,1005.3000000000001,0.0,8.964362297270325,0,0.0,1,1,WA,,,,,,,,,,,NuclearWA
4,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,526793.4341,13169.835849999998,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,WA,,,,,,,,,,,Battery StorageWA
5,Hydrogen,h2_storage,,Energy Storage,storage,500,0.0,1540000.0,46000.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,516000.0,Hydrogen,0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,WA,,,,,,,,,,,HydrogenWA
6,SR,SR,,Nuclear Fuel,thermal,80,10455.0,4053200.0,88710.0,11.53,Yes,0.0,0.0,0.0,40,0.6559195578450814,,,,,,,,Nuclear,20,6.4,40835.92707870164,72.0,0.0,18.387638977270324,0,0.0,1,1,WA,,,,,,,,,,,SRWA
7,SMR,SMR,,Natural Gas,h2,9170,1.0,33800000.0,0.0,765.0,Yes,0.0,0.0,20000.0,25,3.6509190329230177,,,,,,,,SMR,0,9170.0,0.0,3668.0,0.0,765.0036509190329,0,0.0,1,1,WA,,,,,,,,,,,SMRWA
8,SMR CCS,SMR,,Natural Gas,h2,9170,1.0,73480000.0,838.0,0.0,Yes,0.0,0.0,2000.0,25,3.6509190329230177,,,,,,,,SMR,0,9170.0,0.0,3668.0,0.0,0.0036509190329230175,0,0.0,1,1,WA,,,,,,,,,,,SMR CCSWA
9,Electrolyzer,electrolyzer,,Electricity,h2,2000,0.0,11792955.0,1915000.0,0.0,Yes,0.0,0.0,0.0,10,0.0,,,,,,,,Electrolyzer,0,2000.0,0.0,2000.0,0.0,0.0,0,0.0,1,1,WA,,,,,,,,,,,ElectrolyzerWA
10,Fuel Cell,fuel_cell,,Hydrogen,h2toelectricity,50,0.0,1090000.0,13000.0,8.9,Yes,0.0,0.0,0.0,10,0.0,,,,,,,,FuelCell,0,50.0,0.0,50.0,0.0,8.9,0,0.0,1,1,WA,,,,,,,,,,,Fuel CellWA
11,H2 Turbine,h2_turbine,,Hydrogen,h2toelectricity,1100,0.0,900000.0,13000.0,2.8,Yes,0.0,0.0,0.0,25,0.0,,,,,,,,H2Turbine,0,1100.0,0.0,1100.0,0.0,2.8,0,0.0,1,1,WA,,,,,,,,,,,H2 TurbineWA
12,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,9467.0,3344483.044,94059.0,11.699148,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12,116.35,66358.38150289017,260.0,0.0,28.284786502437242,1,0.0,1,1,OR,,,,,,,,,,,Coal Steam CCSOR
13,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6363.0,812286.3957,24455.34,1.558692,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4,127.2,40835.92707870164,160.0,0.0,24.78948980648916,1,0.0,1,1,OR,,,,,,,,,,,Combined CycleOR
14,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,6170.0,1522423.112,54106.31999999999,4.765656,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4,108.12,34710.5380168964,136.0,0.0,27.291826433135018,1,0.0,1,1,OR,,,,,,,,,,,Combined Cycle CCSOR
15,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10455.0,5246173.385,129866.215,2.10672332,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20,89.36,570171.6318363717,1005.3000000000001,0.0,8.964362297270325,0,0.0,1,1,OR,,,,,,,,,,,NuclearOR
16,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,526793.4341,13169.835849999998,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,OR,,,,,,,,,,,Battery StorageOR
17,Hydrogen,h2_storage,,Energy Storage,storage,500,0.0,1540000.0,46000.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,516000.0,Hydrogen,0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,OR,,,,,,,,,,,HydrogenOR
18,SR,SR,,Nuclear Fuel,thermal,80,10455.0,4053200.0,88710.0,11.53,Yes,0.0,0.0,0.0,40,0.6559195578450814,,,,,,,,Nuclear,20,6.4,40835.92707870164,72.0,0.0,18.387638977270324,0,0.0,1,1,OR,,,,,,,,,,,SROR
19,SMR,SMR,,Natural Gas,h2,9170,1.0,33800000.0,0.0,765.0,Yes,0.0,0.0,20000.0,25,3.6509190329230177,,,,,,,,SMR,0,9170.0,0.0,3668.0,0.0,765.0036509190329,0,0.0,1,1,OR,,,,,,,,,,,SMROR
20,SMR CCS,SMR,,Natural Gas,h2,9170,1.0,73480000.0,838.0,0.0,Yes,0.0,0.0,2000.0,25,3.6509190329230177,,,,,,,,SMR,0,9170.0,0.0,3668.0,0.0,0.0036509190329230175,0,0.0,1,1,OR,,,,,,,,,,,SMR CCSOR
21,Electrolyzer,electrolyzer,,Electricity,h2,2000,0.0,11792955.0,1915000.0,0.0,Yes,0.0,0.0,0.0,10,0.0,,,,,,,,Electrolyzer,0,2000.0,0.0,2000.0,0.0,0.0,0,0.0,1,1,OR,,,,,,,,,,,ElectrolyzerOR
22,Fuel Cell,fuel_cell,,Hydrogen,h2toelectricity,50,0.0,1090000.0,13000.0,8.9,Yes,0.0,0.0,0.0,10,0.0,,,,,,,,FuelCell,0,50.0,0.0,50.0,0.0,8.9,0,0.0,1,1,OR,,,,,,,,,,,Fuel CellOR
23,H2 Turbine,h2_turbine,,Hydrogen,h2toelectricity,1100,0.0,900000.0,13000.0,2.8,Yes,0.0,0.0,0.0,25,0.0,,,,,,,,H2Turbine,0,1100.0,0.0,1100.0,0.0,2.8,0,0.0,1,1,OR,,,,,,,,,,,H2 TurbineOR
24,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,9467.0,3344483.044,94059.0,11.699148,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12,116.35,66358.38150289017,260.0,0.0,28.284786502437242,1,0.0,1,1,CA,,,,,,,,,,,Coal Steam CCSCA
25,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6363.0,812286.3957,24455.34,1.558692,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4,127.2,40835.92707870164,160.0,0.0,24.78948980648916,1,0.0,1,1,CA,,,,,,,,,,,Combined CycleCA
